strategy,scenario,run_id,p95_ms,p99_ms,qps,failure_rate,avg_response_ms,request_count,failure_count,cpu_util_percent,memory_util_percent,scale_events,oscillation_events,cost_per_1k_req,top_samples,top_sample_fallback,vpa_valid
static,burst,static_20260508_112120_r1,2100.0,3500.0,65.84836403507805,0.3085074021496654,1015.6843799482846,19724.0,6085.0,35.91525423728814,9.123411016949152,0,0,1.4480813778877321e-05,59,0,0
static,burst,static_20260508_112726_r2,1700.0,4400.0,103.03425286733024,0.00045553639410405753,586.0188078286888,30733.0,14.0,79.76666666666667,9.661458333333334,0,0,1.934718821516502e-05,60,0,0
static,burst,static_20260508_113332_r3,2000.0,4300.0,100.42046224879677,0.02938041305796136,605.8763079479506,30020.0,882.0,78.93333333333334,9.6875,0,0,1.961563818565401e-05,60,0,0
hpa_cpu,burst,hpa_cpu_20260508_113938_r1,1600.0,4400.0,107.17698095933848,0.0005926572881250195,555.6247959574691,32059.0,19.0,58.023529411764706,9.6875,0,0,1.3802452692920955e-05,85,0,0
hpa_cpu,burst,hpa_cpu_20260508_114543_r2,1500.0,4300.0,110.35309694878174,0.0005151515151515151,530.0957002697506,33000.0,17.0,54.29999999999999,9.86111111111111,0,0,1.2638762626262627e-05,90,0,0
hpa_cpu,burst,hpa_cpu_20260508_115149_r3,2100.0,4400.0,79.67936332423467,0.14873921420792494,807.9052996691228,23874.0,3551.0,38.69318181818182,10.040838068181818,0,0,1.2922234040502411e-05,88,0,0
hpa_multi,burst,hpa_multi_20260508_115755_r1,1500.0,4400.0,110.92251335788352,0.0004821164913972339,531.2995111911374,33187.0,16.0,35.621212121212125,9.943181818181818,0,0,8.636978837094847e-06,132,0,0
hpa_multi,burst,hpa_multi_20260508_120400_r2,1500.0,4300.0,110.43537297651211,0.0006048691970361409,532.5575515681651,33065.0,20.0,31.246666666666666,10.260416666666666,0,0,7.778715535057208e-06,150,0,0
hpa_multi,burst,hpa_multi_20260508_121006_r3,2100.0,3400.0,75.9170551076167,0.24330760749724367,858.187168877594,22675.0,5517.0,16.78,10.208333333333334,0,0,6.868412348401323e-06,150,0,0
hpa_vpa,burst,hpa_vpa_20260508_133452_r1,1500.0,4300.0,112.9314019247574,0.0004437607242175019,518.5566272350945,33802.0,15.0,32.42,10.223958333333332,0,0,7.848051705520386e-06,150,0,1
hpa_vpa,burst,hpa_vpa_20260508_134059_r2,1600.0,3900.0,107.3593016699255,0.0001868518576188845,553.45284883063,32111.0,6.0,33.02,10.255208333333334,0,0,8.395784349599825e-06,150,0,1
hpa_vpa,burst,hpa_vpa_20260508_134705_r3,1400.0,3500.0,119.48548458551342,5.599417660563302e-05,479.8356338708378,35718.0,2.0,32.18,10.25,0,0,7.382762192731955e-06,150,0,1
