Method,Name,Error,Occurrences
GET,GET /,"ConnectionAbortedError(10053, '你的主机中的软件中止了一个已建立的连接。', None, 10053, None)",1
GET,GET /,"ConnectionRefusedError(10061, '[WinError 10061] 由于目标计算机积极拒绝，无法连接。')",2012
GET,GET /a,RemoteDisconnected('Remote end closed connection without response'),27
GET,GET /b,"ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)",5
GET,GET /,"ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)",10
GET,GET /b,"ConnectionRefusedError(10061, '[WinError 10061] 由于目标计算机积极拒绝，无法连接。')",329
GET,GET /b,RemoteDisconnected('Remote end closed connection without response'),14
GET,GET /a,"ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)",13
GET,GET /a,"ConnectionRefusedError(10061, '[WinError 10061] 由于目标计算机积极拒绝，无法连接。')",1105
GET,GET /,RemoteDisconnected('Remote end closed connection without response'),34
GET,GET /,"OSError(10048, '[WinError 10048] 通常每个套接字地址(协议/网络地址/端口)只允许使用一次。')",1
