Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778209732,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778209733,10,,Aggregated,0.000000,0.000000,28,34,39,60,67,70,73,76,76,76,76,54,0,27,34.90073518467533,17.232899990631267,75.8790000109002,20.88888888888889
1778209734,20,,Aggregated,0.000000,0.000000,29,36,49,58,67,72,77,77,82,82,82,153,0,29,36.648581044526246,17.00739999068901,81.69819999602623,20.81699346405229
1778209735,30,,Aggregated,41.000000,0.000000,51,72,150,160,200,210,240,250,260,260,260,232,0,51,81.02086422288015,17.00739999068901,262.61170001816936,20.801724137931036
1778209736,40,,Aggregated,65.000000,0.000000,77,170,200,210,280,350,360,400,420,420,420,316,0,77,127.08234303642678,17.00739999068901,424.6637999895029,20.82278481012658
1778209737,50,,Aggregated,73.333333,0.000000,160,230,290,320,360,400,430,460,500,500,500,402,0,160,173.89375721320187,17.00739999068901,497.084900009213,20.83084577114428
1778209738,50,,Aggregated,75.000000,0.000000,200,300,330,350,400,420,490,510,1500,1500,1500,485,0,200,209.1299354636408,17.00739999068901,1475.2387999906205,20.816494845360825
1778209739,50,,Aggregated,77.000000,0.000000,230,310,340,360,400,430,530,1400,1500,1500,1500,584,0,230,237.15499571908492,17.00739999068901,1475.2387999906205,20.845890410958905
1778209740,50,,Aggregated,78.666667,0.000000,260,320,350,360,400,440,530,1400,1500,1500,1500,651,0,260,251.497078801982,17.00739999068901,1476.144700020086,20.85867895545315
1778209741,50,,Aggregated,80.142857,0.000000,260,320,350,360,400,450,1300,1400,2400,2400,2400,742,0,260,271.6651222372608,17.00739999068901,2404.364199988777,20.849056603773583
1778209742,50,,Aggregated,79.750000,0.000000,260,320,340,360,400,460,1400,1500,4500,4500,4500,846,0,260,290.7675562647857,17.00739999068901,4466.105200001039,20.858156028368793
1778209743,50,,Aggregated,80.333333,0.000000,280,320,350,360,400,440,1300,1400,4500,4500,4500,942,0,280,295.19477728252537,17.00739999068901,4466.105200001039,20.855626326963908
1778209744,50,,Aggregated,81.800000,0.000000,290,330,350,380,410,480,1300,1400,4300,4500,4500,1014,0,290,300.96968353067086,17.00739999068901,4466.105200001039,20.858974358974358
1778209745,50,,Aggregated,88.000000,0.000000,290,330,360,380,410,500,1400,1500,4300,4500,4500,1107,0,290,312.2756473352845,17.00739999068901,4466.105200001039,20.860885275519422
1778209746,50,,Aggregated,86.500000,0.000000,300,330,360,380,410,500,1400,1500,4300,4500,4500,1198,0,300,317.85772095153726,17.00739999068901,4466.105200001039,20.858931552587645
1778209747,50,,Aggregated,86.100000,0.000000,300,330,360,380,410,500,1400,1500,4300,4500,4500,1284,0,300,319.3588416665833,17.00739999068901,4466.105200001039,20.861370716510905
1778209748,50,,Aggregated,87.800000,0.000000,300,330,360,380,420,500,1400,1500,4300,4500,4500,1366,0,300,325.75766639809973,17.00739999068901,4466.105200001039,20.859443631039532
1778209749,50,,Aggregated,87.700000,0.000000,300,330,360,380,420,530,1400,1500,4300,4500,4500,1468,0,300,332.15866137587557,17.00739999068901,4466.105200001039,20.85217983651226
1778209750,50,,Aggregated,87.200000,0.000000,300,330,360,380,410,510,1400,1500,4300,4500,4500,1572,0,300,330.3663381677519,17.00739999068901,4466.105200001039,20.85559796437659
1778209751,50,,Aggregated,87.800000,0.000000,300,330,360,380,410,500,1400,1500,4300,4500,4500,1662,0,300,328.2271568590501,17.00739999068901,4466.105200001039,20.85800240673887
1778209752,50,,Aggregated,89.600000,0.000000,300,330,350,370,410,510,1400,1500,4300,4500,4500,1764,0,300,330.5249227322213,17.00739999068901,4466.105200001039,20.86111111111111
1778209753,50,,Aggregated,90.900000,0.000000,290,330,350,370,410,510,1400,1500,4300,4500,4500,1855,0,290,328.4488426413164,17.00739999068901,4466.105200001039,20.86199460916442
1778209754,50,,Aggregated,91.400000,0.000000,300,330,350,370,410,510,1400,1500,4300,4500,4500,1947,0,300,332.8363807394886,17.00739999068901,4466.105200001039,20.857216230097585
1778209755,50,,Aggregated,91.000000,0.000000,290,330,350,370,410,510,1400,1500,3500,4500,4500,2050,0,290,332.3521483413699,17.00739999068901,4466.105200001039,20.861463414634148
1778209756,50,,Aggregated,92.200000,0.000000,300,330,350,370,410,530,1400,1500,3500,4500,4500,2135,0,300,336.5855804683648,17.00739999068901,4466.105200001039,20.86135831381733
