Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778212710,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778212711,10,,Aggregated,0.000000,0.000000,25,29,32,34,39,46,77,78,78,78,78,51,0,25,28.6249235305506,16.59240000299178,78.02149999770336,20.84313725490196
1778212712,20,,Aggregated,0.000000,0.000000,36,50,68,78,97,130,150,170,180,180,180,141,0,36,50.82339078253168,16.59240000299178,176.9235999963712,20.829787234042552
1778212713,40,,Aggregated,30.000000,0.000000,77,120,140,150,170,190,210,220,240,240,240,229,0,77,86.54023144154212,16.59240000299178,235.01629999373108,20.82532751091703
1778212714,50,,Aggregated,53.500000,0.000000,130,150,190,210,260,280,300,300,1200,1200,1200,327,0,130,131.72493547452856,16.59240000299178,1245.599999994738,20.828746177370032
1778212715,60,,Aggregated,65.333333,0.000000,150,210,230,260,290,330,390,410,1200,1200,1200,413,0,150,162.95120920121983,16.59240000299178,1245.599999994738,20.840193704600484
1778212716,70,,Aggregated,70.250000,0.000000,190,260,280,300,360,390,440,1200,1300,1300,1300,511,0,190,202.39467377735232,16.59240000299178,1338.737400015816,20.831702544031312
1778212717,80,,Aggregated,76.800000,0.000000,230,280,310,330,390,420,1300,1500,2400,2400,2400,613,0,230,247.478708157042,16.59240000299178,2416.940600000089,20.831973898858074
1778212718,80,,Aggregated,80.000000,0.000000,250,300,330,360,410,480,1400,1500,2400,2400,2400,708,0,250,273.96164378576344,16.59240000299178,2416.940600000089,20.83050847457627
1778212719,80,,Aggregated,79.571429,0.000000,260,310,350,380,460,1300,1500,2400,2600,2600,2600,795,0,260,315.7602192457317,16.59240000299178,2591.3657999772113,20.835220125786165
1778212720,80,,Aggregated,84.125000,0.000000,270,320,370,400,500,1400,1600,2400,3500,3500,3500,911,0,270,350.6319713505007,16.59240000299178,3478.988799994113,20.82656421514819
1778212721,80,,Aggregated,86.000000,0.000000,280,330,380,400,500,1400,1600,2400,3500,3500,3500,1007,0,280,364.81972403208493,16.59240000299178,3478.988799994113,20.82720953326713
1778212722,80,,Aggregated,87.400000,0.000000,290,340,390,410,520,1400,2300,2400,3500,3600,3600,1120,0,290,392.7166930359038,16.59240000299178,3636.9599000026938,20.823214285714286
1778212723,80,,Aggregated,94.400000,0.000000,290,340,390,410,540,1500,2400,2500,3500,3600,3600,1243,0,290,408.200661464383,16.59240000299178,3636.9599000026938,20.82622687047466
1778212724,80,,Aggregated,95.300000,0.000000,300,340,390,410,540,1400,2400,2400,3500,3600,3600,1351,0,300,410.811557217093,16.59240000299178,3636.9599000026938,20.831236121391562
1778212725,80,,Aggregated,97.600000,0.000000,300,340,390,410,600,1500,2400,2500,5600,5700,5700,1460,0,300,423.2185688357177,16.59240000299178,5683.702300011646,20.828082191780823
1778212726,80,,Aggregated,101.300000,0.000000,300,350,390,410,1200,1500,2400,2800,5700,5700,5700,1565,0,300,435.52053354637025,16.59240000299178,5683.702300011646,20.830670926517573
1778212727,80,,Aggregated,101.900000,0.000000,300,350,390,410,1300,1500,2400,3500,5700,5700,5700,1679,0,300,449.7946160809924,16.59240000299178,5683.702300011646,20.829064919594998
1778212728,80,,Aggregated,102.600000,0.000000,300,350,390,410,1300,1500,2400,3500,5700,5700,5700,1778,0,300,458.01484955009727,16.59240000299178,5683.702300011646,20.82902137232846
1778212729,80,,Aggregated,106.700000,0.000000,300,350,390,410,1300,1500,2400,3500,5700,5700,5700,1893,0,300,456.7126112519039,16.59240000299178,5683.702300011646,20.83042789223455
1778212730,80,,Aggregated,106.200000,0.000000,300,350,390,410,1300,1500,2400,3400,5600,5700,5700,2006,0,300,461.29789092707813,16.59240000299178,5683.702300011646,20.822033898305083
1778212731,80,,Aggregated,105.900000,0.000000,300,350,390,410,1300,1500,2400,3500,5600,5700,5700,2106,0,300,462.3742102087611,16.59240000299178,5683.702300011646,20.81908831908832
1778212732,80,,Aggregated,107.000000,0.000000,300,350,390,410,1300,1500,2400,3500,5600,5700,5700,2218,0,300,469.46785725866584,16.59240000299178,5683.702300011646,20.821009918845807
1778212733,80,,Aggregated,107.800000,0.000000,310,360,390,410,1300,1500,2400,3500,5700,7400,7400,2330,0,310,475.4221127038,16.59240000299178,7411.07220001868,20.819742489270386
1778212734,80,,Aggregated,110.100000,0.000000,300,350,390,410,1300,1500,2400,3500,5700,7400,7400,2450,0,300,473.9037251428164,16.59240000299178,7411.07220001868,20.821632653061226
1778212735,80,,Aggregated,110.100000,0.000000,310,350,390,410,1300,1500,2400,3500,5700,7400,7400,2544,0,310,477.8084308568767,16.59240000299178,7411.07220001868,20.818396226415093
1778212736,80,,Aggregated,109.500000,0.000000,310,360,390,410,1300,1500,2400,3500,5700,7400,7400,2644,0,310,478.98038203478484,16.59240000299178,7411.07220001868,20.82034795763994
1778212737,80,,Aggregated,109.500000,0.000000,310,360,390,410,1300,1500,2400,3500,5700,7400,7400,2774,0,310,483.78403886085925,16.59240000299178,7411.07220001868,20.824080749819753
1778212738,80,,Aggregated,109.300000,0.000000,310,360,390,410,1300,1500,2400,3500,5700,7400,7400,2890,0,310,486.15770619372665,16.59240000299178,7411.07220001868,20.82179930795848
1778212739,80,,Aggregated,108.500000,0.000000,310,360,390,410,1300,1500,2400,3500,5600,7400,7400,3003,0,310,483.8962009656791,16.59240000299178,7411.07220001868,20.823842823842824
1778212740,80,,Aggregated,108.600000,0.000000,310,360,400,410,1300,1500,2400,3500,5800,12000,12000,3106,0,310,495.725715260779,16.59240000299178,11749.099900014699,20.821313586606568
1778212741,80,,Aggregated,110.500000,0.000000,310,360,400,410,1300,1500,2400,3500,5800,12000,12000,3222,0,310,491.85318252633255,16.59240000299178,11749.099900014699,20.825574177529486
1778212742,80,,Aggregated,111.000000,0.000000,310,360,400,410,1300,1500,2400,3500,5800,12000,12000,3329,0,310,492.8790145388345,16.59240000299178,11749.099900014699,20.820666866927006
1778212743,80,,Aggregated,110.300000,0.000000,310,360,400,410,1300,1500,2400,3500,7400,12000,12000,3440,0,310,497.0503792150297,16.59240000299178,11749.099900014699,20.82093023255814
1778212744,80,,Aggregated,110.700000,0.000000,310,360,390,410,1300,1500,2500,3500,7400,12000,12000,3554,0,310,498.9267346932775,16.59240000299178,11749.099900014699,20.823860438942038
1778212745,80,,Aggregated,110.100000,0.000000,310,360,390,410,1300,1500,2500,3500,7400,12000,12000,3669,0,310,502.5001989369884,16.59240000299178,11749.099900014699,20.825565549195968
1778212746,80,,Aggregated,109.400000,0.000000,310,360,390,410,1300,1500,2500,3500,7400,12000,12000,3791,0,310,500.8878068582834,16.59240000299178,11749.099900014699,20.82801371669744
1778212747,80,,Aggregated,110.100000,0.000000,320,370,400,410,1300,1500,2500,3500,7400,12000,12000,3899,0,320,503.7748692741736,16.59240000299178,11749.099900014699,20.82687868684278
