Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776764897,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776764898,20,,Aggregated,0.000000,0.000000,3,4,4,19,73,100,100,100,110,110,110,113,0,3,17.11001504419371,1.9678999997267965,106.59490000034566,489.9380530973451
1776764899,60,,Aggregated,0.000000,0.000000,3,4,4,4,64,74,78,100,110,110,110,335,0,3,11.86139402983175,1.8094999995810213,106.59490000034566,489.84776119402983
1776764900,80,,Aggregated,99.000000,0.000000,3,4,4,5,29,71,89,93,110,110,110,670,0,3,10.23212432833473,1.6352000002370914,106.59490000034566,489.86567164179104
1776764901,100,,Aggregated,157.500000,0.000000,4,4,5,6,14,62,76,92,100,110,110,1097,0,4,8.891824977210968,1.6352000002370914,106.59490000034566,489.8386508659982
1776764902,100,,Aggregated,209.333333,0.000000,4,5,5,6,13,50,73,78,100,110,110,1658,0,4,8.440947165239452,1.6352000002370914,106.59490000034566,489.80820265379975
1776764903,100,,Aggregated,259.750000,0.000000,4,5,5,6,8,26,70,76,100,110,110,2207,0,4,7.313088491148265,1.5480000001844019,106.59490000034566,489.81468056184866
1776764904,100,,Aggregated,316.600000,0.000000,4,5,5,6,8,19,66,75,100,110,110,2752,0,4,6.756979760147059,1.5480000001844019,106.59490000034566,489.8125
1776764905,100,,Aggregated,353.666667,0.000000,4,5,5,6,8,15,62,73,100,110,110,3307,0,4,6.266350922264026,1.5480000001844019,106.59490000034566,489.8097973994557
1776764906,100,,Aggregated,380.142857,0.000000,4,5,5,6,7,11,51,71,100,110,110,3853,0,4,5.9147532312349,1.5480000001844019,106.59490000034566,489.8128730859071
1776764907,100,,Aggregated,402.000000,0.000000,4,4,5,6,7,10,44,70,100,110,110,4396,0,4,5.676208098264742,1.5480000001844019,106.59490000034566,489.81756141947227
1776764908,100,,Aggregated,417.222222,0.000000,4,5,5,6,7,9,32,68,100,110,110,4956,0,4,5.525435532680639,1.5480000001844019,106.59490000034566,489.8131557707829
1776764909,100,,Aggregated,431.700000,0.000000,4,5,5,6,7,9,26,66,100,110,110,5508,0,4,5.404650671741418,1.5480000001844019,106.59490000034566,489.8115468409586
1776764910,100,,Aggregated,475.900000,0.000000,4,5,5,6,7,9,22,64,93,110,110,6065,0,4,5.298361203619621,1.5480000001844019,106.59490000034566,489.81253091508654
1776764911,100,,Aggregated,510.600000,0.000000,4,5,5,6,7,9,20,62,93,110,110,6603,0,4,5.225998879290828,1.5480000001844019,106.59490000034566,489.8132666969559
1776764912,100,,Aggregated,534.500000,0.000000,4,5,5,6,7,9,19,53,93,110,110,7174,0,4,5.169269040972538,1.5480000001844019,106.59490000034566,489.8146083077781
1776764913,100,,Aggregated,546.000000,0.000000,4,5,5,6,7,9,19,51,93,110,110,7747,0,4,5.119551658701867,1.5480000001844019,106.59490000034566,489.8137343487802
1776764914,100,,Aggregated,548.700000,0.000000,4,5,5,6,7,9,18,49,92,110,110,8321,0,4,5.067348539834167,1.5480000001844019,106.59490000034566,489.8174498257421
1776764915,100,,Aggregated,551.600000,0.000000,4,5,5,6,7,9,16,44,92,110,110,8870,0,4,5.038052717019479,1.5480000001844019,106.59490000034566,489.8180383314543
1776764916,100,,Aggregated,555.400000,0.000000,4,5,5,6,7,9,15,38,92,110,110,9429,0,4,5.002967419658656,1.5480000001844019,106.59490000034566,489.8136599851522
1776764917,100,,Aggregated,555.100000,0.000000,4,5,5,6,7,9,15,32,92,110,110,9983,0,4,5.01280420715047,1.5480000001844019,106.59490000034566,489.81438445357105
