Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778210881,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778210882,10,,Aggregated,0.000000,0.000000,27,31,34,67,77,81,89,89,89,89,89,49,0,27,36.23979387754974,17.634699994232506,88.81210000254214,20.775510204081634
1778210883,20,,Aggregated,0.000000,0.000000,41,63,71,75,81,85,88,89,91,91,91,144,0,40,48.09845694419184,17.634699994232506,91.09599998919293,20.805555555555557
1778210884,30,,Aggregated,6.000000,0.000000,73,110,140,170,210,230,270,300,300,300,300,222,0,72,95.89784279314125,17.634699994232506,301.16309999721125,20.806306306306308
1778210885,50,,Aggregated,27.000000,0.000000,110,200,230,270,340,390,410,470,480,480,480,290,0,98,150.3405251727913,17.634699994232506,476.5069000131916,20.844827586206897
1778210886,60,,Aggregated,49.000000,0.000000,160,250,310,350,470,530,600,1500,1600,1600,1600,348,0,160,209.9181077590757,17.634699994232506,1575.0028000038583,20.85632183908046
1778210887,70,,Aggregated,56.000000,0.000000,210,290,340,380,480,560,1500,1500,1600,1600,1600,428,0,200,247.0724058414893,17.634699994232506,1599.8596999852452,20.83411214953271
1778210888,80,,Aggregated,58.800000,0.000000,230,320,380,410,510,1300,1500,1500,2400,2400,2400,522,0,230,304.03016417649025,17.634699994232506,2407.7849999885075,20.835249042145595
1778210889,80,,Aggregated,58.166667,0.000000,280,360,410,460,550,1400,1500,1600,2500,2500,2500,603,0,280,346.826925870764,17.634699994232506,2499.8602000123356,20.844112769485903
1778210890,80,,Aggregated,61.285714,0.000000,300,380,420,470,610,1500,1600,2400,5600,5600,5600,690,0,300,402.20371782594106,17.634699994232506,5590.612600004533,20.856521739130436
1778210891,80,,Aggregated,65.250000,0.000000,330,400,450,490,1300,1500,1700,2400,5600,5600,5600,768,0,320,428.1032256509813,17.634699994232506,5590.612600004533,20.861979166666668
1778210893,80,,Aggregated,69.100000,0.000000,330,400,450,500,1400,1500,1700,2500,5600,5600,5600,874,0,330,449.29122620150184,17.634699994232506,5590.612600004533,20.876430205949656
1778210894,80,,Aggregated,76.200000,0.000000,340,400,450,500,1400,1500,2400,3300,5600,5600,5600,978,0,340,485.647001636016,17.634699994232506,5590.612600004533,20.872188139059304
1778210895,80,,Aggregated,76.200000,0.000000,340,400,450,500,1400,1500,2400,3400,5600,5900,5900,1084,0,340,497.29742795200286,17.634699994232506,5865.44139997568,20.868081180811807
1778210896,80,,Aggregated,82.500000,0.000000,350,410,470,510,1400,1500,2400,3400,5600,5900,5900,1167,0,350,509.71197249351275,17.634699994232506,5865.44139997568,20.851756640959724
1778210897,80,,Aggregated,86.000000,0.000000,350,410,470,510,1400,1500,2400,3300,5600,5900,5900,1286,0,350,521.2003523327038,17.634699994232506,5865.44139997568,20.857698289269052
1778210898,80,,Aggregated,86.900000,0.000000,350,410,460,510,1400,1500,2400,3300,5600,5900,5900,1392,0,350,521.6184747127065,17.634699994232506,5865.44139997568,20.854166666666668
1778210899,80,,Aggregated,92.600000,0.000000,350,410,460,510,1400,1500,2500,3400,5600,5900,5900,1499,0,350,528.0615941962221,17.634699994232506,5865.44139997568,20.853235490326885
1778210900,80,,Aggregated,96.000000,0.000000,350,410,450,510,1400,1500,2400,3300,5600,5900,5900,1602,0,350,528.1461546193428,17.634699994232506,5865.44139997568,20.85518102372035
1778210901,80,,Aggregated,96.800000,0.000000,350,410,460,510,1400,1500,2400,3300,5600,5900,5900,1706,0,350,531.4365018172526,17.634699994232506,5865.44139997568,20.85638921453693
1778210902,80,,Aggregated,98.800000,0.000000,350,400,450,510,1400,1600,2400,3300,5600,5900,5900,1804,0,350,535.4601421842015,17.634699994232506,5865.44139997568,20.854212860310422
1778210903,80,,Aggregated,100.800000,0.000000,350,400,450,500,1400,1500,2400,2800,5600,5900,5900,1907,0,350,529.7789915051566,17.634699994232506,5865.44139997568,20.84583114840063
1778210904,80,,Aggregated,103.000000,0.000000,340,400,440,500,1400,1600,2500,3400,5500,5900,5900,2018,0,340,534.7074680377342,17.634699994232506,5865.44139997568,20.850346878097128
1778210905,80,,Aggregated,103.100000,0.000000,340,400,430,500,1400,1600,2500,3400,5500,5900,5900,2132,0,340,530.9701580675741,17.634699994232506,5865.44139997568,20.856003752345217
1778210906,80,,Aggregated,103.800000,0.000000,340,400,430,490,1400,1600,2500,3400,5500,5900,5900,2246,0,340,531.5733435886658,17.634699994232506,5865.44139997568,20.856634016028494
1778210907,80,,Aggregated,103.700000,0.000000,340,400,430,490,1400,1600,2500,3500,5500,5900,5900,2339,0,340,536.9607825140286,17.634699994232506,5865.44139997568,20.85378366823429
1778210908,80,,Aggregated,106.700000,0.000000,340,400,430,490,1400,1600,2500,3600,5600,5900,5900,2446,0,340,542.3879510221554,17.634699994232506,5865.44139997568,20.85322976287817
1778210909,80,,Aggregated,105.100000,0.000000,340,390,420,480,1400,1600,2500,3600,5800,7600,7600,2558,0,340,540.9395856139347,17.634699994232506,7622.949300013715,20.85340109460516
1778210910,80,,Aggregated,104.100000,0.000000,330,390,420,470,1400,1500,2500,3700,5800,7600,7600,2673,0,330,537.0476691359165,17.634699994232506,7622.949300013715,20.85147774036663
1778210911,80,,Aggregated,105.100000,0.000000,330,390,420,470,1400,1500,2500,3900,5800,7600,7600,2783,0,330,538.0169823572915,17.634699994232506,7622.949300013715,20.848724398131512
1778210912,80,,Aggregated,106.700000,0.000000,330,390,420,470,1400,1600,2500,4400,5800,7600,7600,2890,0,330,543.1441161246804,17.634699994232506,7622.949300013715,20.84878892733564
1778210913,80,,Aggregated,106.800000,0.000000,340,390,420,470,1400,1500,2500,4400,5800,7600,7600,2996,0,340,544.6154795060766,17.634699994232506,7622.949300013715,20.85080106809079
1778210914,80,,Aggregated,106.900000,0.000000,330,390,420,470,1400,1500,2500,4400,5600,7600,7600,3108,0,330,543.5015867440122,17.634699994232506,7622.949300013715,20.8497425997426
