Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778209571,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778209572,10,,Aggregated,0.000000,0.000000,32,39,52,210,220,220,240,240,240,240,240,43,0,32,73.61934650933023,17.236300016520545,242.49989999225363,20.86046511627907
1778209573,20,,Aggregated,0.000000,0.000000,39,83,110,120,150,210,220,220,240,240,240,124,0,39,71.42011129115183,17.236300016520545,242.49989999225363,20.85483870967742
1778209574,30,,Aggregated,17.000000,0.000000,110,140,160,200,220,240,300,310,320,320,320,208,0,110,109.2517341346068,17.236300016520545,316.8205999827478,20.908653846153847
1778209575,40,,Aggregated,44.000000,0.000000,140,200,220,230,290,300,320,320,330,330,330,291,0,140,145.77424432952324,17.236300016520545,329.2772000131663,20.879725085910653
1778209576,50,,Aggregated,55.333333,0.000000,200,250,290,310,360,410,440,470,510,510,510,381,0,200,193.3767448816958,17.236300016520545,514.6971000067424,20.88451443569554
1778209577,50,,Aggregated,65.250000,0.000000,220,260,290,300,360,410,450,1400,1600,1600,1600,482,0,220,218.25040331887104,17.236300016520545,1561.9649000000209,20.869294605809127
1778209578,50,,Aggregated,69.200000,0.000000,230,280,300,310,360,410,500,1400,1600,1600,1600,594,0,230,238.78359545406576,17.236300016520545,1561.9649000000209,20.84175084175084
1778209579,50,,Aggregated,73.666667,0.000000,240,280,300,310,390,440,510,1400,1600,1600,1600,682,0,240,252.17418548350784,17.236300016520545,1561.9649000000209,20.828445747800586
1778209580,50,,Aggregated,78.285714,0.000000,250,290,310,320,410,470,1200,1400,1600,1600,1600,777,0,250,264.7199920205051,17.236300016520545,1561.9649000000209,20.835263835263834
1778209581,50,,Aggregated,81.375000,0.000000,250,290,310,320,400,480,1300,1400,1600,1600,1600,879,0,250,272.60934766783936,17.236300016520545,1596.928500017384,20.831626848691695
1778209582,50,,Aggregated,80.888889,0.000000,250,290,310,320,400,480,1300,1400,1600,1600,1600,988,0,250,276.1106386639697,17.236300016520545,1596.928500017384,20.852226720647774
1778209583,50,,Aggregated,82.700000,0.000000,250,290,310,330,400,470,1300,1400,1600,1600,1600,1072,0,250,276.4801036380199,17.236300016520545,1596.928500017384,20.86007462686567
1778209584,50,,Aggregated,91.600000,0.000000,250,290,310,320,400,480,1300,1400,1600,1600,1600,1174,0,250,280.60001524702625,17.236300016520545,1596.928500017384,20.86541737649063
1778209585,50,,Aggregated,94.300000,0.000000,250,290,310,320,400,470,1300,1400,2300,2400,2400,1278,0,250,284.85971525826045,17.236300016520545,2352.1729000203777,20.8622848200313
1778209586,50,,Aggregated,95.600000,0.000000,250,290,310,320,400,480,1300,1400,3300,3500,3500,1366,0,250,290.9808942898893,17.236300016520545,3474.715499993181,20.855783308931187
1778209587,50,,Aggregated,96.700000,0.000000,250,290,310,320,390,480,1300,1400,3300,3500,3500,1466,0,250,291.81466998637154,17.236300016520545,3474.715499993181,20.8581173260573
1778209588,50,,Aggregated,97.800000,0.000000,250,290,310,320,390,490,1300,1400,3300,3500,3500,1568,0,250,294.5928779975159,17.236300016520545,3474.715499993181,20.848852040816325
1778209589,50,,Aggregated,97.400000,0.000000,260,290,310,330,400,490,1400,1400,3300,3500,3500,1664,0,260,299.2060507811647,17.236300016520545,3474.715499993181,20.8515625
1778209590,50,,Aggregated,96.500000,0.000000,260,290,310,330,400,480,1300,1400,3300,3500,3500,1760,0,260,299.2392769884563,17.236300016520545,3474.715499993181,20.85340909090909
1778209591,50,,Aggregated,96.500000,0.000000,260,290,310,320,390,480,1400,1500,3300,3500,3500,1868,0,260,300.0759945395445,17.236300016520545,3474.715499993181,20.849571734475376
1778209592,50,,Aggregated,98.200000,0.000000,260,290,310,320,390,480,1300,1400,3300,3500,3500,1971,0,260,299.8133115168149,17.236300016520545,3474.715499993181,20.85185185185185
1778209593,50,,Aggregated,98.700000,0.000000,260,290,310,330,390,480,1400,1500,2400,3500,3500,2060,0,260,302.54737135908425,17.236300016520545,3474.715499993181,20.850485436893205
1778209594,50,,Aggregated,98.300000,0.000000,260,300,310,330,390,490,1400,1500,2400,3500,3500,2152,0,260,304.91904033458104,17.236300016520545,3474.715499993181,20.850371747211895
